request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. Forecast keeps at least IDR 24768300 available.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. Forecast keeps at least ZAR 20500 available.
request_28,221.58,not_affordable,not_recommended,none,2024-08-18,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 1100 available.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. Forecast keeps at least ZAR 28300 available.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use the supplied installment schedule starting 2026-04-06. Forecast keeps at least USD 900 available.
request_31,2501353.77,not_affordable,not_recommended,none,2024-11-16,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least IDR 16588900 available.
request_32,15320.19,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least ZAR 35700 available.
request_33,42668.09,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Wait until 2026-03-15 to pay INR 118000 safely. Forecast keeps at least INR 102100 available.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. Forecast keeps at least INR 138500 available.
request_35,27203.35,not_affordable,not_recommended,none,2026-01-16,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least INR 106400 available.
request_36,574.9,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least USD 2400 available.
request_37,3111426.44,not_affordable,not_recommended,none,2024-05-23,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least IDR 17056200 available.
request_38,235.42,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,Wait until 2025-10-13 to pay EUR 971.3 safely. Forecast keeps at least EUR 400 available.
request_39,129981.43,not_affordable,not_recommended,none,2026-06-16,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least INR 213400 available.
request_40,362.94,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 1500 available.
